Country Name,"Country Code","Series Name","Series Code","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Estonia,"EST","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","33.287","26.12","30.062","32.473","31.075","30.381","32.096","37.067","34.095","34.256","36.494","37.22","38.189","36.97","37.81","40.598","42.175","45.033","42.669","41.09"
Eswatini,"SWZ","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","30.289","29.831","29.464","29.157","28.87","28.6","28.224","27.722","27.213","26.757","26.376","26.043","25.747","25.436","25.108","24.794","25.273","25.73","26.142","26.38"
Ethiopia,"ETH","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","71.083","71.065","71.002","70.849","70.672","70.697","70.721","70.744","70.769","70.796","70.827","70.86","70.897","67.912","64.987","62.13","59.331","56.627","53.995","51.257"
Faroe Islands,"FRO","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Fiji,"FJI","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","26.544","25.699","24.867","24.048","23.241","23.809","24.381","24.971","25.58","26.196","26.822","27.443","28.052","28.646","27.834","27.039","26.411","25.964","26.056","23.8"
Finland,"FIN","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","52.945","54.774","56.589","58.387","60.162","60.793","53.59","53.453","51.158","49.331","50.561","52.083","52.934","52.545","53.359","53.276","54.249","54.634","53.419","51.366"
France,"FRA","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","32.251","32.699","33.6","33.274","30.485","30.388","31.447","31.034","32.288","31.666","30.835","30.221","31.757","30.954","31.745","32.004","31.516","32.042","31.895","31.17"
French Polynesia,"PYF","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","32.8","32.37","31.954","31.541","31.131","30.724","30.32","31.281","32.257","33.25","34.258","35.28","35.304","35.305","35.173","34.951","34.485","34.262","33.918","33.274"
Gabon,"GAB","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","18.023","17.769","17.508","17.248","16.992","16.741","16.5","16.277","16.084","15.93","15.806","15.694","15.588","15.504","15.457","15.454","15.487","15.534","15.577","13.979"
"Gambia, The","GMB","Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","SL.TLF.ACTI.1524.FE.ZS","29.605","29.1","29.353","29.608","29.142","28.81","28.743","28.906","29.097","29.239","28.304","28.417","28.364","27.992","28.029","27.912","28.003","28.265","28.453","28.21"
